CLAVE,NOMBRE DEL PRODUCTO,TIPO DE PIEL,PRESENTACIÓN,PRECIO,DESCRIPCIÓN,CATEGORÍA
FF145,BODY & SOUL AROMACOLOGY RELAX (AZUL PROFUNDO),Protocolos específicos,120 mL,$599,,ASPIDESSENCE (Sinergias / Aceites esenciales)
FF146,BODY & SOUL AROMACOLOGY EQUAL (VINO ARMONÍA),Protocolos específicos,120 mL,$499,,ASPIDESSENCE (Sinergias / Aceites esenciales)
FF148,ELIXIR DE ACEITES PARA CUIDADO FACIAL,Todo tipo de piel,56 mL,$539,,ASPIDESSENCE (Sinergias / Aceites esenciales)
SS001,GEL EXFOLIANTE,Todo tipo de piel,500 mL,$999,"Humectante, no requiere enjuague",SPASCIENCE
SS004,TALCO LÍQUIDO,Todo tipo de piel,120 mL,$519,"Desodorante, ideal para depilar y aclarar la piel",SPASCIENCE
SS005,ARCILLA Y FANGO MARINO,Todo tipo de piel,300 g,"$1,009",Mascarilla facial y corporal con oligoelementos,SPASCIENCE
SS008,ACEITE PARA MASAJE ORIENTAL SENSE,Todo tipo de piel,1 L,$849,"Con aroma a lavanda, ylang ylang y cardamomo",SPASCIENCE
SS010,ACEITE PARA MASAJE CITRUS ENERGY,Todo tipo de piel,1 L,$849,"Con aroma a orquídea, naranja y mandarina",SPASCIENCE
MM001,GEL DERMOLIMPIADOR,Todo tipo de piel,75 g,$359,"Gel espumoso, ideal para piel masculina y afeitado",MET MEN
MM003,CREMA ANTIOXIDANTE Y PROTECTORA,Todo tipo de piel,60 mL,$439,Humectante y antioxidante con pantalla y filtro solar,MET MEN
MM006,CREMA ALISANTE,Todo tipo de piel,30 mL,$469,Minimiza la apariencia de las líneas de expresión,MET MEN
MM007,LOCIÓN CAPILAR,Todo tipo de piel,120 mL,$479,Tónico para el cabello,MET MEN
JA007,GEL DE LIMPIEZA FACIAL,Todo tipo de piel,120 mL,$489,Con alfahidroxiácidos (AHA) para limpieza y retexturización de la piel,JÜNG
JA008,GEL DE LIMPIEZA FACIAL,Todo tipo de piel,60 g,$289,Con alfahidroxiácidos (AHA) para limpieza y retexturización de la piel,JÜNG
JB027,GEL ASTRINGENTE,Piel grasa,18 g,$339,"Para piel grasa y con imperfecciones, contiene aminoácidos azulfrados",JÜNG
JB028,GEL ASTRINGENTE,Piel grasa,75 g,$729,"Para piel grasa y con imperfecciones, contiene aminoácidos azulfrados",JÜNG
JB031,LOCIÓN EQUILIBRANTE,Piel grasa,60 mL,$309,"Para piel grasa y con imperfecciones, contiene romero y pepino",JÜNG
JB032,LOCIÓN EQUILIBRANTE,Piel grasa,240 mL,$749,"Para piel grasa y con imperfecciones, contiene romero y pepino",JÜNG
JC048,CREMA PRO CONTROL GRASO,Piel grasa,60 mL,$659,"Para piel grasa y con imperfecciones, con agave y jugo de pepino",JÜNG
JC049,CREMA PRO CONTROL GRASO,Piel grasa,240 mL,"$1,179","Para piel grasa y con imperfecciones, con agave y jugo de pepino",JÜNG
JE092,MASCARILLA OPACIFICADORA,Piel grasa,75 g,$539,Mascarilla matificante para piel grasa y con imperfecciones,JÜNG
JE093,MASCARILLA OPACIFICADORA,Piel grasa,220 g,$839,Mascarilla matificante para piel grasa y con imperfecciones,JÜNG
EC064,REPACEL DUAL,Todo tipo de piel,30 g / 30 g,"$1,039",Tratamiento cosmético restaurador para uso de día y noche,SELECTIVE (Cremas de tratamiento y nutritivas)
EC073,ULTRA LISS,Todo tipo de piel,30 g / 60 mL,"$1,039",Crema miotonificante y spray redensificador,SELECTIVE (Cremas de tratamiento y nutritivas)
